,PC1,PC2,labels,Player,Rk_x,Pos_x,Age_x,Tm_x,G_x,MP_x,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Tm_y,G_y,Rk_y,Pos_y,Age_y,GS,MP_y,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1024,2.7018205905421997,1.1071928149716572,1,Thanasis Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIL,18,14,SF,27,2,93,7.4,13.9,0.528,0.0,2.7,0.0,7.4,11.2,0.655,2.7,5.8,0.467,4.3,3.1,7.4,3.5,2.3,0.8,4.3,5.0,17.4
1025,-1.9013017355820798,0.6309565152071556,4,Theo Pinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRK,33,391,SG,24,0,365,4.4,15.3,0.29,1.5,7.9,0.188,3.0,7.4,0.4,1.5,1.6,0.938,1.0,4.3,5.3,5.5,1.7,0.4,3.3,3.5,11.8
1026,0.711266115052209,-1.4209768237165075,7,Thomas Bryant,79.0,C,21.0,WAS,72.0,1496.0,21.0,0.674,0.19699999999999998,0.273,8.1,25.1,16.5,9.3,0.8,3.8,9.6,17.6,,4.3,1.3,5.6,0.17800000000000002,,2.3,-0.3,2.0,1.5,WAS,38,74,C,22,28,901,7.4,12.3,0.599,0.9,2.2,0.40700000000000003,6.5,10.1,0.64,2.8,3.8,0.737,3.0,7.4,10.4,2.8,0.6,1.3,1.9,3.4,18.4
1027,1.096151241753337,-1.286442531483549,6,Thon Maker,324.0,C-PF,21.0,TOT,64.0,972.0,11.3,0.53,0.5710000000000001,0.313,4.5,17.4,11.0,6.3,1.0,4.4,9.8,14.8,,0.5,1.5,2.0,0.099,,-2.2,1.0,-1.2,0.2,DET,60,304,C,22,14,776,4.3,9.0,0.482,1.0,3.0,0.344,3.3,6.0,0.55,3.4,5.1,0.664,2.5,5.2,7.7,2.0,1.2,1.8,2.1,4.7,13.0
1028,1.096151241753337,-1.286442531483549,6,Thon Maker,324.0,C,21.0,MIL,35.0,409.0,12.9,0.546,0.5820000000000001,0.276,4.5,18.5,11.9,5.8,1.1,3.7,5.7,16.3,,0.4,0.7,1.1,0.132,,-1.3,1.3,0.0,0.2,DET,60,304,C,22,14,776,4.3,9.0,0.482,1.0,3.0,0.344,3.3,6.0,0.55,3.4,5.1,0.664,2.5,5.2,7.7,2.0,1.2,1.8,2.1,4.7,13.0
1029,1.096151241753337,-1.286442531483549,6,Thon Maker,324.0,PF,21.0,DET,29.0,563.0,10.2,0.514,0.56,0.35100000000000003,4.5,16.5,10.3,6.7,1.0,5.0,13.4,13.7,,0.1,0.8,0.9,0.075,,-2.9,0.8,-2.1,0.0,DET,60,304,C,22,14,776,4.3,9.0,0.482,1.0,3.0,0.344,3.3,6.0,0.55,3.4,5.1,0.664,2.5,5.2,7.7,2.0,1.2,1.8,2.1,4.7,13.0
1030,-1.749430072540817,0.8904949231101811,4,Tim Frazier,173.0,PG,28.0,TOT,59.0,1120.0,11.7,0.544,0.387,0.207,3.9,11.5,7.7,27.6,1.2,0.4,21.1,13.3,,1.3,0.7,2.0,0.084,,-1.4,-0.4,-1.8,0.1,DET,27,158,PG,29,11,355,3.4,9.5,0.362,1.0,3.0,0.33299999999999996,2.4,6.5,0.375,1.9,2.4,0.792,0.9,2.4,3.3,9.4,1.4,0.4,3.7,4.3,9.8
1031,-1.749430072540817,0.8904949231101811,4,Tim Frazier,173.0,PG,28.0,NOP,47.0,909.0,11.6,0.552,0.395,0.21,3.7,11.8,7.8,28.0,1.3,0.4,22.0,12.3,,1.1,0.4,1.5,0.081,,-1.2,-0.2,-1.3,0.2,DET,27,158,PG,29,11,355,3.4,9.5,0.362,1.0,3.0,0.33299999999999996,2.4,6.5,0.375,1.9,2.4,0.792,0.9,2.4,3.3,9.4,1.4,0.4,3.7,4.3,9.8
1032,-1.3306183002919456,-0.6280978002226373,4,Tim Hardaway Jr.,205.0,SG,26.0,TOT,65.0,2057.0,13.6,0.527,0.48,0.278,1.7,9.8,5.7,12.8,1.3,0.3,8.6,25.4,,1.0,0.9,1.8,0.043,,-0.1,-2.0,-2.0,0.0,DAL,63,191,SG,27,50,1815,6.9,15.7,0.437,3.7,9.0,0.40700000000000003,3.2,6.7,0.478,2.4,3.0,0.801,0.5,3.5,3.9,2.5,0.8,0.1,1.2,2.1,19.8
1033,-1.3306183002919456,-0.6280978002226373,4,Tim Hardaway Jr.,205.0,SG,26.0,NYK,46.0,1499.0,14.4,0.531,0.46399999999999997,0.321,1.8,9.7,5.6,13.5,1.4,0.3,8.9,25.9,,1.0,0.5,1.5,0.048,,0.4,-1.9,-1.6,0.2,DAL,63,191,SG,27,50,1815,6.9,15.7,0.437,3.7,9.0,0.40700000000000003,3.2,6.7,0.478,2.4,3.0,0.801,0.5,3.5,3.9,2.5,0.8,0.1,1.2,2.1,19.8
